Name;Title;Co-Authors;Pagintation;Published;Venue
Dietrich Kuske;Branching Automata with Costs - A Way of Reflecting Parallelism in Costs.;Ingmar Meinecke;[<span itemprop="pagination">150-162</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Ingmar Meinecke;Branching Automata with Costs - A Way of Reflecting Parallelism in Costs.;Dietrich Kuske;[<span itemprop="pagination">150-162</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Gaoyan Xie;New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.;Cheng Li, Zhe Dang;[<span itemprop="pagination">163-175</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Cheng Li;New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.;Gaoyan Xie, Zhe Dang;[<span itemprop="pagination">163-175</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Zhe Dang;New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.;Gaoyan Xie, Cheng Li;[<span itemprop="pagination">163-175</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Farn Wang;TCTL Inevitability Analysis of Dense-Time Systems.;Geng-Dian Hwang, Fang Yu;[<span itemprop="pagination">176-187</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Geng-Dian Hwang;TCTL Inevitability Analysis of Dense-Time Systems.;Farn Wang, Fang Yu;[<span itemprop="pagination">176-187</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Fang Yu;TCTL Inevitability Analysis of Dense-Time Systems.;Farn Wang, Geng-Dian Hwang;[<span itemprop="pagination">176-187</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Xiang Fu;Conversation Protocols: A Formalism for Specification and Verification of Reactive Electronic Services.;Tevfik Bultan, Jianwen Su;[<span itemprop="pagination">188-200</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Tevfik Bultan;Conversation Protocols: A Formalism for Specification and Verification of Reactive Electronic Services.;Xiang Fu, Jianwen Su;[<span itemprop="pagination">188-200</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Jianwen Su;Conversation Protocols: A Formalism for Specification and Verification of Reactive Electronic Services.;Xiang Fu, Tevfik Bultan;[<span itemprop="pagination">188-200</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Haruo Hosoya;Boolean Operations for Attribute-Element Constraints.;Makoto Murata;[<span itemprop="pagination">201-212</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Makoto Murata;Boolean Operations for Attribute-Element Constraints.;Haruo Hosoya;[<span itemprop="pagination">201-212</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Akihiko Tozawa;XML Schema Containment Checking Based on Semi-implicit Techniques.;Masami Hagiya;[<span itemprop="pagination">213-225</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Masami Hagiya;XML Schema Containment Checking Based on Semi-implicit Techniques.;Akihiko Tozawa;[<span itemprop="pagination">213-225</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Bala Ravikumar;Weak Minimization of DFA - An Algorithm and Applications.;;[<span itemprop="pagination">226-238</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Mark Daley;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.;Mark G. Eramian, Ian McQuillan;[<span itemprop="pagination">239-250</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Mark G. Eramian;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.;Mark Daley, Ian McQuillan;[<span itemprop="pagination">239-250</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Ian McQuillan;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.;Mark Daley, Mark G. Eramian;[<span itemprop="pagination">239-250</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Tsai-Hung Fan;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;Shufen Lee, Hsueh-I Lu, Tsung-Shan Tsou, Tsai-Cheng Wang, Adam Yao;[<span itemprop="pagination">251-257</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Shufen Lee;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;Tsai-Hung Fan, Hsueh-I Lu, Tsung-Shan Tsou, Tsai-Cheng Wang, Adam Yao;[<span itemprop="pagination">251-257</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Hsueh-I Lu;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;Tsai-Hung Fan, Shufen Lee, Tsung-Shan Tsou, Tsai-Cheng Wang, Adam Yao;[<span itemprop="pagination">251-257</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Tsung-Shan Tsou;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;Tsai-Hung Fan, Shufen Lee, Hsueh-I Lu, Tsai-Cheng Wang, Adam Yao;[<span itemprop="pagination">251-257</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Tsai-Cheng Wang;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;Tsai-Hung Fan, Shufen Lee, Hsueh-I Lu, Tsung-Shan Tsou, Adam Yao;[<span itemprop="pagination">251-257</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Adam Yao;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;Tsai-Hung Fan, Shufen Lee, Hsueh-I Lu, Tsung-Shan Tsou, Tsai-Cheng Wang;[<span itemprop="pagination">251-257</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Manuel Vilares Ferro;Robust Parsing Using Dynamic Programming.;Victor M. Darriba, Jesús Vilares Ferro, Leandro Rodríguez Liñares;[<span itemprop="pagination">258-268</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Victor M. Darriba;Robust Parsing Using Dynamic Programming.;Manuel Vilares Ferro, Jesús Vilares Ferro, Leandro Rodríguez Liñares;[<span itemprop="pagination">258-268</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Jesús Vilares Ferro;Robust Parsing Using Dynamic Programming.;Manuel Vilares Ferro, Victor M. Darriba, Leandro Rodríguez Liñares;[<span itemprop="pagination">258-268</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Leandro Rodríguez Liñares;Robust Parsing Using Dynamic Programming.;Manuel Vilares Ferro, Victor M. Darriba, Jesús Vilares Ferro;[<span itemprop="pagination">258-268</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
José M. Castaño;LR Parsing for Global Index Languages (GILs).;;[<span itemprop="pagination">269-281</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Klaus Sutner;The Ehrenfeucht-Mycielski Sequence.;;[<span itemprop="pagination">282-293</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Borivoj Melichar;The Longest Common Subsequence Problem A Finite Automata Approach.;Tomás Polcar;[<span itemprop="pagination">294-296</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Tomás Polcar;The Longest Common Subsequence Problem A Finite Automata Approach.;Borivoj Melichar;[<span itemprop="pagination">294-296</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Nathan Preston;AVA: An Applet for Visualizing FRACTRAN and Other Automata.;Mukkai S. Krishnamoorthy;[<span itemprop="pagination">297-298</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Mukkai S. Krishnamoorthy;AVA: An Applet for Visualizing FRACTRAN and Other Automata.;Nathan Preston;[<span itemprop="pagination">297-298</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Ernest Ketcha Ngassam;Preliminary Experiments in Hardcoding Finite Automata.;Bruce W. Watson, Derrick G. Kourie;[<span itemprop="pagination">299-300</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Bruce W. Watson;Preliminary Experiments in Hardcoding Finite Automata.;Ernest Ketcha Ngassam, Derrick G. Kourie;[<span itemprop="pagination">299-300</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Derrick G. Kourie;Preliminary Experiments in Hardcoding Finite Automata.;Ernest Ketcha Ngassam, Bruce W. Watson;[<span itemprop="pagination">299-300</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Robert Kelly;Computational Linguistic Motivations for a Finite-State Machine Hierarchy.;Julie Carson-Berndsen;[<span itemprop="pagination">301-303</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Julie Carson-Berndsen;Computational Linguistic Motivations for a Finite-State Machine Hierarchy.;Robert Kelly;[<span itemprop="pagination">301-303</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Michiel Frishert;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;Loek G. Cleophas, Bruce W. Watson;[<span itemprop="pagination">304-305</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Loek G. Cleophas;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;Michiel Frishert, Bruce W. Watson;[<span itemprop="pagination">304-305</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Bruce W. Watson;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;Michiel Frishert, Loek G. Cleophas;[<span itemprop="pagination">304-305</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
César Bravo;Building Context-Sensitive Parsers from CF Grammars with Regular Control Language.;João José Neto;[<span itemprop="pagination">306-308</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
João José Neto;Building Context-Sensitive Parsers from CF Grammars with Regular Control Language.;César Bravo;[<span itemprop="pagination">306-308</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Olgierd Unold;Finite-State Molecular Computing.;Maciej Troc, Tadeusz Dobosz, Alicja Trusewicz;[<span itemprop="pagination">309-310</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Maciej Troc;Finite-State Molecular Computing.;Olgierd Unold, Tadeusz Dobosz, Alicja Trusewicz;[<span itemprop="pagination">309-310</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Tadeusz Dobosz;Finite-State Molecular Computing.;Olgierd Unold, Maciej Troc, Alicja Trusewicz;[<span itemprop="pagination">309-310</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Alicja Trusewicz;Finite-State Molecular Computing.;Olgierd Unold, Maciej Troc, Tadeusz Dobosz;[<span itemprop="pagination">309-310</span>];[<meta content="2003" itemprop="datePublished"/>];<title>dblp: CIAA 2003</title>
Benedikt Bollig;Automata and Logics for Concurrent Systems: Five Models in Five Pages.;;[<span itemprop="pagination">3-12</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Bruce W. Watson;Hardware Implementations of Finite Automata and Regular Expressions - Extended Abstract.;;[<span itemprop="pagination">13-17</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Abhijin Adiga;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Chris J. Kuhlman, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz, Richard Edwin Stearns;[<span itemprop="pagination">21-34</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Chris J. Kuhlman;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz, Richard Edwin Stearns;[<span itemprop="pagination">21-34</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Madhav V. Marathe;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Chris J. Kuhlman, S. S. Ravi, Daniel J. Rosenkrantz, Richard Edwin Stearns;[<span itemprop="pagination">21-34</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
S. S. Ravi;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Chris J. Kuhlman, Madhav V. Marathe, Daniel J. Rosenkrantz, Richard Edwin Stearns;[<span itemprop="pagination">21-34</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Daniel J. Rosenkrantz;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Chris J. Kuhlman, Madhav V. Marathe, S. S. Ravi, Richard Edwin Stearns;[<span itemprop="pagination">21-34</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Richard Edwin Stearns;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;Abhijin Adiga, Chris J. Kuhlman, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz;[<span itemprop="pagination">21-34</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Angelo Borsotti;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;Luca Breveglieri, Stefano Crespi-Reghizzi, Angelo Morzenti;[<span itemprop="pagination">35-48</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Luca Breveglieri;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;Angelo Borsotti, Stefano Crespi-Reghizzi, Angelo Morzenti;[<span itemprop="pagination">35-48</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Stefano Crespi-Reghizzi;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;Angelo Borsotti, Luca Breveglieri, Angelo Morzenti;[<span itemprop="pagination">35-48</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Angelo Morzenti;From Ambiguous Regular Expressions to Deterministic Parsing Automata.;Angelo Borsotti, Luca Breveglieri, Stefano Crespi-Reghizzi;[<span itemprop="pagination">35-48</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Sabine Broda;Deciding Synchronous Kleene Algebra with Derivatives.;Sílvia Cavadas, Miguel Ferreira, Nelma Moreira;[<span itemprop="pagination">49-62</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Sílvia Cavadas;Deciding Synchronous Kleene Algebra with Derivatives.;Sabine Broda, Miguel Ferreira, Nelma Moreira;[<span itemprop="pagination">49-62</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Miguel Ferreira;Deciding Synchronous Kleene Algebra with Derivatives.;Sabine Broda, Sílvia Cavadas, Nelma Moreira;[<span itemprop="pagination">49-62</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Nelma Moreira;Deciding Synchronous Kleene Algebra with Derivatives.;Sabine Broda, Sílvia Cavadas, Miguel Ferreira;[<span itemprop="pagination">49-62</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Pascal Caron;On the Hierarchy of Block Deterministic Languages.;Ludovic Mignot, Clément Miklarz;[<span itemprop="pagination">63-75</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Ludovic Mignot;On the Hierarchy of Block Deterministic Languages.;Pascal Caron, Clément Miklarz;[<span itemprop="pagination">63-75</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Clément Miklarz;On the Hierarchy of Block Deterministic Languages.;Pascal Caron, Ludovic Mignot;[<span itemprop="pagination">63-75</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Zhe Dang;Security of Numerical Sensors in Automata.;Dmitry Dementyev, Thomas R. Fischer, William J. Hutton III;[<span itemprop="pagination">76-88</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Dmitry Dementyev;Security of Numerical Sensors in Automata.;Zhe Dang, Thomas R. Fischer, William J. Hutton III;[<span itemprop="pagination">76-88</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Thomas R. Fischer;Security of Numerical Sensors in Automata.;Zhe Dang, Dmitry Dementyev, William J. Hutton III;[<span itemprop="pagination">76-88</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
William J. Hutton III;Security of Numerical Sensors in Automata.;Zhe Dang, Dmitry Dementyev, Thomas R. Fischer;[<span itemprop="pagination">76-88</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Henning Fernau;Jumping Finite Automata: Characterizations and Complexity.;Meenakshi Paramasivan, Markus L. Schmid;[<span itemprop="pagination">89-101</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Meenakshi Paramasivan;Jumping Finite Automata: Characterizations and Complexity.;Henning Fernau, Markus L. Schmid;[<span itemprop="pagination">89-101</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Markus L. Schmid;Jumping Finite Automata: Characterizations and Complexity.;Henning Fernau, Meenakshi Paramasivan;[<span itemprop="pagination">89-101</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Emanuele Giaquinta;Run-Length Encoded Nondeterministic KMP and Suffix Automata.;;[<span itemprop="pagination">102-113</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Hermann Gruber;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.;Markus Holzer, Sebastian Jakobi;[<span itemprop="pagination">114-126</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Markus Holzer;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.;Hermann Gruber, Sebastian Jakobi;[<span itemprop="pagination">114-126</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Sebastian Jakobi;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.;Hermann Gruber, Markus Holzer;[<span itemprop="pagination">114-126</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Vladimir V. Gusev;On the Number of Synchronizing Colorings of Digraphs.;Marek Szykula;[<span itemprop="pagination">127-139</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Marek Szykula;On the Number of Synchronizing Colorings of Digraphs.;Vladimir V. Gusev;[<span itemprop="pagination">127-139</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Pierre-Cyrille Héam;On the Uniform Random Generation of Non Deterministic Automata Up to Isomorphism.;Jean-Luc Joly;[<span itemprop="pagination">140-152</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Jean-Luc Joly;On the Uniform Random Generation of Non Deterministic Automata Up to Isomorphism.;Pierre-Cyrille Héam;[<span itemprop="pagination">140-152</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Pierre-Cyrille Héam;Random Generation and Enumeration of Accessible Deterministic Real-Time Pushdown Automata.;Jean-Luc Joly;[<span itemprop="pagination">153-164</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Jean-Luc Joly;Random Generation and Enumeration of Accessible Deterministic Real-Time Pushdown Automata.;Pierre-Cyrille Héam;[<span itemprop="pagination">153-164</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Stefan Hoffmann;Subword Metrics for Infinite Words.;Ludwig Staiger;[<span itemprop="pagination">165-175</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Ludwig Staiger;Subword Metrics for Infinite Words.;Stefan Hoffmann;[<span itemprop="pagination">165-175</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Mans Hulden;From Two-Way to One-Way Finite Automata - Three Regular Expression-Based Methods.;;[<span itemprop="pagination">176-187</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Natalia Kushik;Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.;Nina Yevtushenko;[<span itemprop="pagination">188-198</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Nina Yevtushenko;Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.;Natalia Kushik;[<span itemprop="pagination">188-198</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Martin Kutrib;Expressive Capacity of Concatenation Freeness.;Matthias Wendlandt;[<span itemprop="pagination">199-210</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Matthias Wendlandt;Expressive Capacity of Concatenation Freeness.;Martin Kutrib;[<span itemprop="pagination">199-210</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Grzegorz Madejski;The Membership Problem for Linear and Regular Permutation Languages.;;[<span itemprop="pagination">211-223</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Masaki Nakanishi;Classical and Quantum Counter Automata on Promise Problems.;Abuzer Yakaryilmaz;[<span itemprop="pagination">224-237</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Abuzer Yakaryilmaz;Classical and Quantum Counter Automata on Promise Problems.;Masaki Nakanishi;[<span itemprop="pagination">224-237</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Timothy Ng;State Complexity of Prefix Distance.;David Rappaport, Kai Salomaa;[<span itemprop="pagination">238-249</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
David Rappaport;State Complexity of Prefix Distance.;Timothy Ng, Kai Salomaa;[<span itemprop="pagination">238-249</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Kai Salomaa;State Complexity of Prefix Distance.;Timothy Ng, David Rappaport;[<span itemprop="pagination">238-249</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Daniel Prusa;(Un)decidability of the Emptiness Problem for Multi-dimensional Context-Free Grammars.;;[<span itemprop="pagination">250-262</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Mehryar Mohri;On the Disambiguation of Weighted Automata.;Michael D. Riley;[<span itemprop="pagination">263-278</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Michael D. Riley;On the Disambiguation of Weighted Automata.;Mehryar Mohri;[<span itemprop="pagination">263-278</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Marek Szykula;Checking Whether an Automaton Is Monotonic Is NP-complete.;;[<span itemprop="pagination">279-291</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Martin Berglund;On the Semantics of Regular Expression Parsing in the Wild.;Brink van der Merwe;[<span itemprop="pagination">292-304</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Brink van der Merwe;On the Semantics of Regular Expression Parsing in the Wild.;Martin Berglund;[<span itemprop="pagination">292-304</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Abejide Ade-Ibijola;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.;Sigrid Ewert, Ian Douglas Sanders;[<span itemprop="pagination">307-312</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Sigrid Ewert;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.;Abejide Ade-Ibijola, Ian Douglas Sanders;[<span itemprop="pagination">307-312</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Ian Douglas Sanders;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.;Abejide Ade-Ibijola, Sigrid Ewert;[<span itemprop="pagination">307-312</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Angelo Borsotti;BSP: A Parsing Tool for Ambiguous Regular Expressions.;Luca Breveglieri, Stefano Crespi-Reghizzi, Angelo Morzenti;[<span itemprop="pagination">313-316</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Luca Breveglieri;BSP: A Parsing Tool for Ambiguous Regular Expressions.;Angelo Borsotti, Stefano Crespi-Reghizzi, Angelo Morzenti;[<span itemprop="pagination">313-316</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Stefano Crespi-Reghizzi;BSP: A Parsing Tool for Ambiguous Regular Expressions.;Angelo Borsotti, Luca Breveglieri, Angelo Morzenti;[<span itemprop="pagination">313-316</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Angelo Morzenti;BSP: A Parsing Tool for Ambiguous Regular Expressions.;Angelo Borsotti, Luca Breveglieri, Stefano Crespi-Reghizzi;[<span itemprop="pagination">313-316</span>];[<meta content="2015" itemprop="datePublished"/>];<title>dblp: CIAA 2015</title>
Jérôme Amilhastre;FA Minimisation Heuristics for a Class of Finite Languages.;Philippe Janssen, Marie-Catherine Vilarem;[<span itemprop="pagination">1-12</span>];[<meta content="1999" itemprop="datePublished"/>];<title>dblp: WIA 1999</title>
Philippe Janssen;FA Minimisation Heuristics for a Class of Finite Languages.;Jérôme Amilhastre, Marie-Catherine Vilarem;[<span itemprop="pagination">1-12</span>];[<meta content="1999" itemprop="datePublished"/>];<title>dblp: WIA 1999</title>
Marie-Catherine Vilarem;FA Minimisation Heuristics for a Class of Finite Languages.;Jérôme Amilhastre, Philippe Janssen;[<span itemprop="pagination">1-12</span>];[<meta content="1999" itemprop="datePublished"/>];<title>dblp: WIA 1999</title>
Philippe Andary;SEA: A Symbolic Environment for Automata Theory.;Pascal Caron, Jean-Marc Champarnaud, Gérard Duchamp, Marianne Flouret, Éric Laugerotte;[<span itemprop="pagination">13-26</span>];[<meta content="1999" itemprop="datePublished"/>];<title>dblp: WIA 1999</title>
Pascal Caron;SEA: A Symbolic Environment for Automata Theory.;Philippe Andary, Jean-Marc Champarnaud, Gérard Duchamp, Marianne Flouret, Éric Laugerotte;[<span itemprop="pagination">13-26</span>];[<meta content="1999" itemprop="datePublished"/>];<title>dblp: WIA 1999</title>
Jean-Marc Champarnaud;SEA: A Symbolic Environment for Automata Theory.;Philippe Andary, Pascal Caron, Gérard Duchamp, Marianne Flouret, Éric Laugerotte;[<span itemprop="pagination">13-26</span>];[<meta content="1999" itemprop="datePublished"/>];<title>dblp: WIA 1999</title>
